Farm ID,Soil Type,Soil pH,Organic Matter (%),Nitrogen Level (ppm),Phosphorus Level (ppm),Potassium Level (ppm),Temperature (°C),Rainfall (mm),Crop Recommended
237,Sandy,6.5,3.3,20,16,29,25,896,Bajra
238,Sandy,6.6,2.3,25,13,32,25,796,Wheat
239,Sandy,7.3,3.4,21,11,25,28,835,Mustard
240,Loamy,6.9,3.1,28,10,34,26,718,Cotton
241,Loamy,6.3,3.3,28,10,29,29,775,Rice
242,Clayey,6.4,1.7,23,13,33,28,801,Bajra
243,Sandy,7.2,2.8,20,15,32,25,843,Bajra
244,Sandy,7.5,1.5,22,20,33,29,891,Cotton
245,Loamy,7.3,2.4,19,11,28,27,779,Wheat
246,Clayey,6.5,2.9,24,12,33,29,784,Sugarcane
247,Loamy,7.3,2.4,22,11,30,26,855,Bajra
248,Clayey,7.0,3.4,23,12,27,27,708,Rice
249,Loamy,6.9,3.3,23,19,33,30,734,Sugarcane
250,Clayey,6.6,2.8,29,19,35,25,735,Mustard
251,Clayey,6.1,2.5,25,20,29,27,747,Mustard
252,Clayey,6.2,3.0,20,18,26,30,784,Mustard
253,Sandy,7.2,1.8,27,17,25,30,727,Mustard
254,Clayey,6.7,2.4,18,19,26,28,862,Cotton
255,Clayey,7.4,2.0,27,19,35,30,842,Rice
256,Sandy,7.1,2.2,23,20,35,29,731,Wheat
257,Sandy,6.1,3.5,23,10,34,26,889,Wheat
258,Sandy,6.6,2.4,18,12,28,28,879,Bajra
259,Sandy,6.2,3.4,30,18,29,28,739,Mustard
260,Sandy,6.9,1.7,25,18,35,25,856,Mustard
261,Clayey,6.2,3.2,26,20,32,26,765,Sugarcane
262,Clayey,7.3,2.2,18,15,27,26,790,Sugarcane
263,Clayey,7.5,3.2,22,12,30,26,855,Rice
264,Clayey,6.1,3.5,29,12,35,26,845,Mustard
265,Sandy,6.6,3.4,18,15,30,25,894,Rice
266,Loamy,6.1,1.7,22,12,28,29,770,Mustard
267,Loamy,7.4,3.4,27,13,30,30,740,Sugarcane
268,Sandy,6.3,2.5,29,17,33,26,700,Wheat
269,Sandy,6.5,1.7,30,18,27,27,863,Sugarcane
270,Sandy,6.2,2.4,24,15,27,26,814,Sugarcane
271,Clayey,7.0,3.3,18,10,34,28,751,Sugarcane
272,Clayey,7.0,2.6,20,20,29,26,840,Rice
273,Sandy,6.1,1.6,22,12,31,28,755,Bajra
274,Sandy,6.6,2.0,28,16,30,27,792,Bajra
275,Clayey,6.3,3.3,30,12,29,29,777,Cotton
276,Loamy,6.7,3.1,22,16,29,28,766,Cotton
277,Loamy,7.2,2.6,20,18,27,28,829,Wheat
278,Clayey,7.3,2.9,25,12,27,25,701,Wheat
279,Clayey,6.4,2.6,21,14,31,30,825,Bajra
280,Sandy,6.1,2.8,27,14,26,27,810,Wheat
281,Clayey,6.3,1.6,19,14,33,26,830,Wheat
282,Loamy,6.5,3.0,20,17,27,30,897,Wheat
283,Clayey,6.2,2.0,20,16,28,27,775,Rice
284,Clayey,7.1,2.8,28,12,31,30,722,Bajra
285,Loamy,6.8,3.5,18,11,30,27,829,Wheat
286,Loamy,7.3,1.9,28,11,29,29,760,Bajra
287,Sandy,7.4,3.1,21,19,25,30,757,Cotton
288,Clayey,6.1,2.1,30,11,31,27,719,Sugarcane
289,Clayey,6.1,2.3,26,14,25,27,703,Mustard
290,Clayey,6.8,2.1,27,17,26,27,795,Mustard
291,Clayey,6.7,2.2,26,10,33,28,783,Bajra
292,Clayey,7.0,2.6,30,11,28,27,737,Rice
293,Clayey,6.6,3.2,19,16,26,30,750,Cotton
294,Sandy,6.4,2.5,23,14,32,25,864,Rice
295,Loamy,7.2,1.8,28,17,27,26,749,Bajra
296,Loamy,7.1,2.2,21,11,25,26,845,Cotton
297,Clayey,7.2,2.5,19,17,28,25,863,Mustard
298,Clayey,7.4,2.9,27,12,32,28,746,Cotton
299,Sandy,7.1,2.1,20,11,32,28,719,Sugarcane
300,Loamy,6.8,2.9,24,19,30,30,755,Rice
301,Sandy,6.8,2.4,25,19,35,27,763,Sugarcane
302,Sandy,6.2,2.6,22,16,25,29,817,Sugarcane
303,Loamy,6.6,2.7,30,19,28,28,809,Wheat
304,Loamy,6.6,3.0,26,11,26,26,711,Mustard
305,Loamy,7.0,2.4,28,10,30,28,779,Mustard
306,Loamy,6.5,2.8,23,16,30,30,794,Cotton
307,Sandy,6.3,3.3,18,13,29,29,819,Wheat
308,Clayey,6.5,3.3,23,20,33,26,769,Wheat
309,Loamy,6.9,2.3,18,11,26,26,809,Rice
310,Loamy,6.3,2.2,26,17,30,29,849,Cotton
311,Clayey,6.7,1.6,25,14,27,26,786,Cotton
312,Sandy,6.2,3.0,24,14,25,30,759,Rice
313,Clayey,7.0,3.3,20,15,30,30,777,Wheat
314,Loamy,7.2,3.0,29,14,35,29,807,Bajra
315,Loamy,7.0,1.9,23,16,34,29,859,Sugarcane
316,Sandy,7.1,2.2,28,15,28,25,820,Bajra
317,Clayey,6.7,2.3,22,10,33,27,803,Cotton
318,Loamy,6.1,2.3,20,15,26,29,732,Wheat
319,Sandy,7.1,1.7,27,18,27,30,834,Bajra
320,Clayey,6.4,1.8,21,11,30,27,789,Cotton
321,Loamy,7.5,2.3,21,18,32,30,773,Sugarcane
322,Sandy,7.1,2.8,26,17,34,26,772,Mustard
323,Clayey,7.0,2.0,27,16,28,25,723,Bajra
324,Sandy,7.3,2.7,25,10,30,29,790,Mustard
325,Sandy,6.8,1.6,30,13,33,25,778,Wheat
326,Clayey,6.4,1.9,19,11,29,28,733,Bajra
327,Loamy,6.6,2.5,20,20,26,29,702,Rice
328,Sandy,7.3,3.1,29,10,29,25,788,Rice
329,Clayey,7.1,1.8,29,19,33,28,701,Bajra
330,Loamy,7.0,1.8,18,10,27,29,804,Mustard
331,Sandy,6.7,2.7,20,19,34,29,703,Bajra
332,Clayey,7.1,3.4,25,19,33,30,747,Wheat
333,Clayey,6.0,3.0,22,20,35,25,731,Sugarcane
334,Clayey,6.7,3.5,24,10,29,27,831,Sugarcane
335,Sandy,6.9,2.1,27,19,28,25,820,Wheat
336,Loamy,6.6,2.0,28,15,27,25,735,Sugarcane
337,Sandy,6.4,1.8,30,11,30,28,794,Bajra
338,Loamy,7.1,3.1,19,16,32,27,793,Cotton
339,Sandy,7.0,2.4,30,17,32,28,740,Sugarcane
340,Sandy,7.3,3.4,28,13,26,26,841,Mustard
341,Sandy,7.2,2.3,29,18,32,25,874,Sugarcane
342,Sandy,6.3,3.0,26,11,28,25,725,Mustard
343,Clayey,7.1,2.0,20,19,31,30,856,Cotton
344,Loamy,6.1,2.0,20,10,31,30,815,Sugarcane
345,Clayey,7.3,2.1,27,16,27,30,896,Cotton
346,Loamy,7.0,3.5,19,11,31,29,830,Sugarcane
347,Sandy,6.3,2.8,30,10,28,27,732,Mustard
348,Loamy,6.7,3.4,19,11,29,27,844,Mustard
349,Loamy,6.8,2.2,21,17,30,27,732,Bajra
350,Loamy,7.5,3.1,25,18,34,25,799,Cotton
351,Sandy,6.0,2.4,24,20,27,30,899,Bajra
352,Loamy,7.4,2.1,29,12,33,25,710,Wheat
353,Clayey,6.4,1.8,21,16,35,25,746,Sugarcane
354,Clayey,7.1,3.4,27,11,31,27,887,Rice
355,Clayey,7.3,2.2,18,14,30,26,734,Wheat
356,Clayey,7.3,1.9,28,15,32,27,708,Mustard
357,Clayey,7.0,2.9,19,18,31,30,786,Mustard
358,Sandy,7.0,2.5,23,12,35,26,752,Rice
359,Loamy,7.3,3.3,30,18,35,29,840,Wheat
360,Clayey,6.2,3.2,27,16,35,26,806,Rice
361,Clayey,7.0,2.7,26,20,33,25,842,Bajra
362,Sandy,6.5,2.9,23,12,30,28,829,Rice
363,Loamy,6.8,1.6,27,19,27,27,848,Wheat
364,Loamy,6.9,2.1,26,16,34,27,890,Wheat
365,Sandy,7.1,3.0,27,12,31,27,835,Mustard
366,Clayey,7.1,3.1,30,12,34,26,758,Wheat
367,Clayey,6.5,1.9,21,13,28,30,815,Cotton
368,Clayey,6.4,2.9,22,16,35,28,805,Sugarcane
369,Clayey,6.0,2.4,20,10,35,29,804,Cotton
370,Loamy,7.2,2.8,20,11,33,30,760,Rice
371,Loamy,6.5,3.4,26,11,33,25,824,Wheat
372,Sandy,6.5,1.7,20,17,28,27,775,Rice
373,Clayey,6.4,3.3,26,19,32,28,847,Rice
374,Clayey,6.7,1.9,22,15,35,26,749,Sugarcane
375,Sandy,7.2,2.0,29,18,31,30,768,Wheat
376,Clayey,6.4,1.6,27,15,26,25,879,Wheat
377,Clayey,6.2,3.4,24,12,28,25,879,Rice
378,Sandy,6.7,3.5,22,19,35,27,812,Wheat
379,Sandy,6.8,2.8,21,15,27,29,804,Wheat
380,Clayey,7.5,2.5,23,10,33,28,866,Wheat
381,Loamy,6.1,3.1,29,17,28,26,780,Sugarcane
382,Sandy,6.2,2.7,23,11,27,27,871,Bajra
383,Sandy,6.4,3.0,22,12,31,30,717,Wheat
384,Sandy,6.2,2.7,25,12,27,25,764,Mustard
385,Sandy,6.8,2.7,30,19,35,25,702,Bajra
386,Loamy,7.5,3.1,28,17,29,27,819,Mustard
387,Sandy,7.5,3.0,25,17,27,30,883,Sugarcane
388,Clayey,6.3,2.7,24,20,32,26,719,Mustard
389,Sandy,7.1,2.2,18,18,35,28,852,Rice
390,Sandy,7.0,3.4,25,14,25,27,819,Rice
391,Loamy,7.0,2.2,19,12,35,29,840,Wheat
392,Loamy,6.2,1.8,28,16,34,26,897,Cotton
393,Clayey,7.3,1.7,22,13,32,29,732,Wheat
394,Clayey,6.5,2.0,18,20,27,28,893,Mustard
395,Sandy,7.1,1.9,29,18,29,26,779,Sugarcane
396,Clayey,6.4,2.9,25,18,28,28,737,Rice
397,Loamy,7.3,2.1,25,13,34,25,819,Bajra
398,Loamy,7.4,2.6,19,16,27,29,706,Cotton
399,Loamy,6.8,3.5,24,13,33,26,746,Bajra
400,Clayey,7.2,2.7,24,17,26,25,853,Rice
401,Sandy,7.3,2.0,24,16,29,25,865,Wheat
402,Clayey,7.0,2.3,26,14,31,26,757,Rice
403,Clayey,7.2,1.6,19,18,35,27,898,Wheat
404,Sandy,6.5,3.0,18,20,33,27,881,Rice
405,Clayey,7.1,2.5,28,13,26,27,787,Rice
406,Clayey,6.0,2.0,23,13,32,30,710,Rice
407,Clayey,6.3,2.9,30,15,32,30,772,Wheat
408,Clayey,6.9,2.2,25,11,28,29,865,Cotton
409,Clayey,7.4,2.0,18,19,34,27,705,Bajra
410,Clayey,7.0,3.5,20,12,31,25,704,Sugarcane
411,Clayey,6.3,2.8,22,11,31,26,771,Cotton
412,Clayey,6.9,3.4,21,16,28,29,808,Sugarcane
413,Clayey,7.3,2.5,28,20,35,28,793,Bajra
414,Loamy,7.2,2.4,18,13,30,29,876,Sugarcane
415,Loamy,7.1,2.1,28,12,26,29,891,Sugarcane
416,Sandy,6.2,2.6,25,15,28,26,837,Sugarcane
417,Loamy,7.2,2.4,23,14,27,29,752,Wheat
418,Clayey,7.1,2.1,25,10,31,26,700,Mustard
419,Clayey,7.3,3.4,28,19,26,29,852,Wheat
420,Sandy,6.5,2.1,27,17,25,29,792,Rice
421,Clayey,7.1,1.5,25,15,26,28,730,Mustard
422,Loamy,6.1,2.0,24,13,28,26,731,Wheat
423,Sandy,6.1,1.5,28,19,34,26,725,Wheat
424,Loamy,6.5,2.9,24,10,29,27,764,Wheat
425,Loamy,6.1,3.1,22,11,25,29,820,Rice
426,Loamy,7.1,3.0,20,10,27,25,743,Sugarcane
427,Loamy,7.5,1.7,30,18,35,25,731,Wheat
428,Clayey,6.2,3.1,21,20,26,30,887,Bajra
429,Sandy,6.2,2.7,21,15,27,30,836,Wheat
430,Sandy,6.3,2.3,27,14,29,25,715,Cotton
431,Loamy,7.3,3.5,27,17,26,28,740,Cotton
432,Loamy,7.4,3.2,23,14,28,25,724,Bajra
433,Clayey,6.2,2.2,20,11,26,27,708,Sugarcane
434,Clayey,7.0,2.3,25,18,30,25,743,Wheat
435,Loamy,7.1,2.4,22,13,32,26,869,Sugarcane
436,Sandy,7.2,1.6,18,12,25,25,746,Mustard
437,Loamy,7.4,2.4,27,13,33,30,706,Rice
438,Sandy,6.1,1.9,25,13,35,27,737,Bajra
439,Clayey,7.2,3.1,18,19,34,29,728,Mustard
440,Loamy,6.2,1.7,19,18,32,28,867,Cotton
441,Loamy,7.3,2.5,21,11,31,28,817,Rice
442,Loamy,7.5,1.8,20,13,31,30,732,Mustard
443,Sandy,6.4,2.8,18,16,31,27,723,Sugarcane
444,Sandy,6.5,2.6,21,14,32,26,730,Wheat
445,Loamy,6.8,2.2,25,14,31,27,805,Bajra
446,Clayey,7.0,2.0,24,10,33,25,893,Bajra
447,Sandy,7.1,2.7,25,20,30,26,792,Sugarcane
448,Loamy,6.3,2.8,28,11,31,27,720,Cotton
449,Clayey,7.3,2.4,22,13,32,27,812,Mustard
450,Clayey,6.1,1.8,21,10,32,27,703,Mustard
451,Sandy,7.3,2.1,30,18,30,27,805,Wheat
452,Clayey,6.1,3.3,20,13,29,28,899,Rice
453,Loamy,7.4,2.4,24,17,33,26,849,Cotton
454,Clayey,7.4,3.3,29,18,26,30,787,Mustard
455,Loamy,6.9,1.5,27,19,34,30,716,Rice
456,Clayey,6.4,2.1,26,15,27,30,890,Cotton
457,Clayey,6.7,1.9,21,18,25,28,781,Rice
458,Clayey,6.2,1.7,26,17,25,26,881,Cotton
